artist_id,artist_name,followers_total,artist_popularity,genres
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,72333810,93,[]
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,106027618,96,[]
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,38581305,94,"['art pop', 'pop']"
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,112724536,95,[]
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,67213818,92,[]
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,58630186,91,[]
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,120651080,90,['soft pop']
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,41738728,95,"['hip hop', 'west coast hip hop']"
4q3ewBCX7sLwd24euuV69X,Bad Bunny,96447552,100,"['reggaeton', 'trap latino', 'urbano latino', 'latin']"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,138435844,98,[]
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,82714013,91,[]
3TVXtAsR1Inumwj472S9r4,Drake,99072969,97,['rap']
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,105574941,93,['pop']
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,27083054,90,"['edm', 'dance']"
7tYKF4w9nC0nq9CsPZTHyP,SZA,30359269,93,['r&b']
7CajNmpbOovFoOoasH2HaY,Calvin Harris,23156904,88,['edm']
04gDigrS5kc9YWfZHwBETP,Maroon 5,45004280,88,['pop']
246dkjvS1zLTtiykXe5h60,Post Malone,47081565,90,[]
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,46132614,89,['pop']
7dGJo4pcD2V6oG8kP0tJRR,Eminem,101222362,91,"['rap', 'hip hop']"
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,38453543,90,"['reggaeton', 'latin']"
6jJ0s89eD6GaHleKKya26X,Katy Perry,37276016,87,['pop']
0EmeFodog0BfCgMzAIvKQp,Shakira,38206940,88,['latin pop']
5WUlDfRSoLAfcVSX1WnrxN,Sia,29952457,86,[]
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,39028347,93,['rap']
0TnOYISbd1XYRBk9myaseg,Pitbull,11609073,88,[]
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,23061646,90,[]
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,30133624,92,['rap']
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,26045241,86,[]
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,48022001,92,[]
6vWDO969PvNqNYHIOW5v0m,Beyoncé,40420012,88,[]
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,26636412,90,['r&b']
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,57389920,88,[]
4dpARuHxo51G3z768sgnrY,Adele,64434244,86,['soft pop']
22wbnEMDvgVIAGdFeek6ET,Benson Boone,5860716,88,[]
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,37223028,88,"['reggaeton', 'latin']"
45dkTj5sMRSjrmBSBeiHym,Tate McRae,7911094,91,[]
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,30461666,88,"['indie', 'garage rock']"
1RyvyyTE3xzB2ZywiAwp0i,Future,21593571,92,['rap']
4asJQrazucWu3Zy5R7B164,Karol G,3968,1,[]
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,33434720,87,[]
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,18322812,85,['soft pop']
64KEffDW9EtZ1y2vBYgq8T,Marshmello,34249791,83,['edm']
2wY79sveU1sp5g7SokKOiI,Sam Smith,25847532,84,['soft pop']
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,30219210,90,"['nu metal', 'rap metal', 'rock', 'alternative metal']"
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,9017789,84,[]
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,1577373,87,[]
6LuN9FCkKOj5PcnpouEgny,Khalid,16735292,84,[]
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,14310560,91,['rage rap']
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,52647375,86,[]
