track_id,track_name,primary_artist_id,track_popularity,album_name,duration_ms,is_explicit
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,,91,MAYHEM,251667,False
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,,90,rosie,169917,False
7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,,88,Doo-Wops & Hooligans,220734,False
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,,90,Unorthodox Jukebox,233478,False
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,,89,24K Magic,206693,False
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,,89,Unorthodox Jukebox,213826,False
0M3HkE321xpCbCYqVKzr1q,It Will Rain,,85,It Will Rain,257720,False
161DnLWsx1i3u1JT05lzqU,Talking to the Moon,,84,Doo-Wops & Hooligans,217866,False
22PMfvdz35fFKYnJyMn077,Marry You,,79,Doo-Wops & Hooligans,230192,False
2tJulUYLDKOg9XrtVkMgcJ,Grenade,,79,Doo-Wops & Hooligans,222091,False
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),,95,Hurry Up Tomorrow,256000,True
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",,94,The Idol Episode 4 (Music from the HBO Original Series),244684,False
7MXVkk9YMctZqd1Srtv4MB,Starboy,,91,Starboy,230453,True
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,,91,After Hours,200040,False
2LBqCSwhJGcFQeTHMVGwy3,Die For You,,88,Starboy,260253,False
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),,88,Hurry Up Tomorrow,301623,True
68qeaZhtMZ6abrJCYt6nQn,RATHER LIE (with The Weeknd),,88,MUSIC,209680,True
7fBv7CLKzipRk6EC6TWHOB,The Hills,,88,Beauty Behind The Madness,242253,True
5QO79kh1waicV47BqGRL3g,Save Your Tears,,88,After Hours,215626,True
3AWDeHLc88XogCaCnZQLVI,Cry For Me,,87,Hurry Up Tomorrow,224136,True
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,,91,MAYHEM,251667,False
2LHNTC9QZxsL3nWpt8iaSR,Abracadabra,,88,MAYHEM,223398,False
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,,88,The Fame,237200,True
7F25roCtYi55JouckaayPC,Judas,,87,Born This Way (International Special Edition Version),249066,False
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,,86,The Fame,241933,False
0SiywuOBRcynK0uKGWdCnn,Bad Romance,,89,The Fame Monster (Deluxe Edition),294573,True
2VxeLyX666F8uXCJ0dZF8B,Shallow,,88,A Star Is Born Soundtrack,215733,False
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,,87,A Star Is Born Soundtrack (Without Dialogue),210200,False
02XnQdf7sipaKBBHixz3Zp,Paparazzi,,84,The Fame,208306,True
4mUR5Tv0CvJtpmnUtzeIgd,Garden Of Eden,,86,MAYHEM,239720,False
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,,100,HIT ME HARD AND SOFT,210373,False
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,,96,HIT ME HARD AND SOFT,261466,False
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,,91,HIT ME HARD AND SOFT,303440,False
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),,90,lovely (with Khalid),200185,False
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,,87,Brat and it’s completely different but also still brat,143330,False
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,,86,dont smile at me,200379,False
43zdsphuZLzwA9k4DJhU0I,when the party's over,,88,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",196077,False
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",,88,"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,False
629DixmZGHc7ILtEntuiWE,LUNCH,,88,HIT ME HARD AND SOFT,179586,False
3GYlZ7tbxLOxe6ewMNVTkw,TV,,87,Guitar Songs,281380,False
6qn9YLKt13AGvpq9jfO8py,We Found Love,,86,Talk That Talk,215226,False
46aZJc0z1HHHSFxaIRxYSP,Breakin' Dishes,,87,Good Girl Gone Bad: Reloaded,200573,False
2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),,87,Loud (Japan Version),235493,False
0ByMNEPAPpOR5H69DVrTNy,Don't Stop The Music,,86,Good Girl Gone Bad: Reloaded,267080,False
49FYlytm3dAAraYgpoJZux,Umbrella,,86,Good Girl Gone Bad: Reloaded,275986,False
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,,87,ANTI (Deluxe),224000,True
7ySUcLPVX7KudhnmNcgY2D,S&M,,86,Loud (Japan Version),243600,True
2Yy0FsAV2I5VXU4xpph2WN,Stay,,79,Unapologetic (Edited Version),240706,False
2vlDrKpOC0eSTqTDRcbYyw,This Is What You Came For,,83,96 Months,221900,False
7i0jaBLpIADxqNbhAb4XFb,Diamonds,,77,Unapologetic (Edited Version),225146,False
3AJwUDP919kvQ9QcozQPxg,Yellow,,93,Parachutes,266773,False
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,,90,Viva La Vida or Death and All His Friends,242373,False
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,,90,Memories...Do Not Open,247160,False
75JFxkI2RXiU7L9VXzMkle,The Scientist,,91,A Rush of Blood to the Head,309600,False
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,,90,Ghost Stories,267866,False
7D0RhFcb3CrfPuTJ0obrod,Sparks,,89,Parachutes,227093,False
0BCPKOYdS2jbQ8iyB56Zns,Clocks,,88,A Rush of Blood to the Head,307879,False
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,,88,X&Y,295533,False
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,,88,A Head Full of Dreams,263786,False
6nek1Nin9q48AVZcWs9e9D,Paradise,,88,Mylo Xyloto,278719,False
0GRc3eGTg8HBdWLRGYgqIc,Azizam,,92,Azizam,162029,False
7qiZfU4dY1lWllzX7mPBI3,Shape of You,,91,÷ (Deluxe),233712,False
0tgVpDi06FyKpA1z0VMD4v,Perfect,,91,÷ (Deluxe),263400,False
1dyRiQZRGHZvesHh2hbp8g,Photograph,,80,x (Wembley Edition),258986,False
3cw4Y2ziYYiJV49bWN5H1D,Thinking out Loud,,76,x (Wembley Edition),281560,False
50nfwKoDiSYg8zOCREWAm5,Shivers,,85,=,207853,False
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,,85,=,230746,False
2QxviKpVdEXKDWs706MUZB,Old Phone,,84,Old Phone,221831,False
6hvRoJ0BTZywxu8UCPBkzx,I Don't Care,,77,+-=÷× (Tour Collection),219946,False
0afhq8XCExXpqazXczTSve,Galway Girl,,83,÷ (Deluxe),170826,False
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),,92,GNX,177598,False
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),,94,Black Panther The Album Music From And Inspired By,232186,True
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,,94,Not Like Us,274192,True
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),,92,GNX,220690,True
74tLlkN3rgVzRqQJgPfink,Money Trees,,85,"good kid, m.A.A.d city",386906,True
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,,89,DAMN.,177000,True
0nj9Bq5sHDiTxSHunhgkFb,squabble up,,88,GNX,157992,True
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,,87,DAMN.,213400,False
2tudvzsrR56uom6smgOcSf,Like That,,87,WE DON'T TRUST YOU,267706,True
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),,86,SOS Deluxe: LANA,278277,True
3sK8wGT43QFpWrvNQsrQya,DtMF,,97,DeBÍ TiRAR MáS FOToS,237117,True
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,,96,DeBÍ TiRAR MáS FOToS,367725,True
6J5kc12BW5HuP3d7C3vvx8,EoO,,94,DeBÍ TiRAR MáS FOToS,204768,True
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,,94,DeBÍ TiRAR MáS FOToS,183685,False
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,,93,DeBÍ TiRAR MáS FOToS,156364,True
7d6yK8v8J484SWH5prIQiE,VeLDÁ,,93,DeBÍ TiRAR MáS FOToS,235336,True
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,,91,Cosa Nuestra,191018,True
4MUrUT38U98olfnyzMBCzm,KLOuFRENS,,90,DeBÍ TiRAR MáS FOToS,199114,True
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,,90,OASIS,242573,False
5WEF0icHWmAZBBMglBd599,WELTiTA,,89,DeBÍ TiRAR MáS FOToS,187507,False
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,,91,Lover,178426,False
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),,85,THE TORTURED POETS DEPARTMENT,228965,False
4R2kfaDFhslZEMJqAFNpdd,cardigan,,86,folklore,239560,False
3hUxzQpSfdDqwM3ZTFQY0K,august,,86,folklore,261922,False
